
2024-11-18 00:03:00,759 - INFO - Checkpoint directory: ./results/biased/linear/256
2024-11-18 00:03:00,760 - INFO - Configuration:
2024-11-18 00:03:00,760 - INFO - batch_sizes: [256, 128, 64, 32, 16, 8]
2024-11-18 00:03:00,760 - INFO - batch_size: 256
2024-11-18 00:03:00,760 - INFO - batch_size_evaluate: 64
2024-11-18 00:03:00,760 - INFO - num_epochs: 100
2024-11-18 00:03:00,760 - INFO - num_eval_epochs: 30
2024-11-18 00:03:00,760 - INFO - sim_coeff: 25.0
2024-11-18 00:03:00,761 - INFO - std_coeff: 25.0
2024-11-18 00:03:00,761 - INFO - cov_coeff: 1
2024-11-18 00:03:00,761 - INFO - lr_vicreg: 0.0008
2024-11-18 00:03:00,761 - INFO - lr_linear: 0.02
2024-11-18 00:03:00,761 - INFO - checkpoint_dir: ./results/biased/linear/256
2024-11-18 00:03:00,761 - INFO - backbone: resnet18
2024-11-18 00:03:00,761 - INFO - projection_head_dims: [512, 512, 512]
2024-11-18 00:03:00,761 - INFO - probe: linear
2024-11-18 00:03:00,761 - INFO - loss: biased
2024-11-18 00:03:00,761 - INFO - Running with batch_size=256
2024-11-18 00:03:00,817 - INFO - Using device: cuda
2024-11-18 00:03:00,821 - INFO - Setting up experiment...
2024-11-18 00:03:00,822 - INFO - Using ResNet18 backbone
2024-11-18 00:03:01,380 - INFO - Using biased VICReg loss
2024-11-18 00:03:01,381 - INFO - Setting up datasets and dataloaders
2024-11-18 00:03:02,702 - INFO - Created dataloaders with batch size 256 and evaluate 64
2024-11-18 00:03:02,703 - INFO - Created optimizers with learning rates: vicreg=0.0008, linear=0.02
2024-11-18 00:03:02,703 - INFO - Loaded checkpoints: vicreg_epoch=0, linear_epoch=0
2024-11-18 00:03:02,703 - INFO - Starting from epoch vicreg_start:0
2024-11-18 00:03:02,703 - INFO - Writing visualization data to TensorBoard
2024-11-18 00:03:06,195 - INFO - Successfully wrote visualization data to TensorBoard
2024-11-18 00:03:06,222 - INFO - Beginning train + evaluate for linear probing
2024-11-18 00:03:06,223 - INFO - Continuing VICReg training from epoch 0 to 100
2024-11-18 00:03:26,551 - INFO - Epoch: 00, VICReg loss: 20.79070
2024-11-18 00:03:46,971 - INFO - Epoch: 01, VICReg loss: 20.36782
2024-11-18 00:04:09,134 - INFO - Epoch: 02, VICReg loss: 20.18987
2024-11-18 00:04:31,001 - INFO - Epoch: 03, VICReg loss: 20.03989
2024-11-18 00:04:52,969 - INFO - Epoch: 04, VICReg loss: 19.94882
2024-11-18 00:05:15,160 - INFO - Epoch: 05, VICReg loss: 19.86649
2024-11-18 00:05:36,927 - INFO - Epoch: 06, VICReg loss: 19.78598
2024-11-18 00:05:58,972 - INFO - Epoch: 07, VICReg loss: 19.72194
2024-11-18 00:06:20,977 - INFO - Epoch: 08, VICReg loss: 19.68716
2024-11-18 00:06:43,445 - INFO - Epoch: 09, VICReg loss: 19.60266
2024-11-18 00:07:05,565 - INFO - Epoch: 10, VICReg loss: 19.54744
2024-11-18 00:07:27,691 - INFO - Epoch: 11, VICReg loss: 19.50793
2024-11-18 00:07:49,855 - INFO - Epoch: 12, VICReg loss: 19.47483
2024-11-18 00:08:12,133 - INFO - Epoch: 13, VICReg loss: 19.41920
2024-11-18 00:08:33,886 - INFO - Epoch: 14, VICReg loss: 19.38582
2024-11-18 00:08:55,782 - INFO - Epoch: 15, VICReg loss: 19.34734
2024-11-18 00:09:17,607 - INFO - Epoch: 16, VICReg loss: 19.31749
2024-11-18 00:09:39,204 - INFO - Epoch: 17, VICReg loss: 19.29845
2024-11-18 00:10:00,712 - INFO - Epoch: 18, VICReg loss: 19.24389
2024-11-18 00:10:22,021 - INFO - Epoch: 19, VICReg loss: 19.21461
2024-11-18 00:10:43,515 - INFO - Epoch: 20, VICReg loss: 19.18498
2024-11-18 00:11:05,266 - INFO - Epoch: 21, VICReg loss: 19.13430
2024-11-18 00:11:26,815 - INFO - Epoch: 22, VICReg loss: 19.10056
2024-11-18 00:11:48,234 - INFO - Epoch: 23, VICReg loss: 19.09850
2024-11-18 00:12:10,123 - INFO - Epoch: 24, VICReg loss: 19.07207
2024-11-18 00:12:31,543 - INFO - Epoch: 25, VICReg loss: 19.01005
2024-11-18 00:12:52,845 - INFO - Epoch: 26, VICReg loss: 19.00834
2024-11-18 00:13:14,305 - INFO - Epoch: 27, VICReg loss: 19.00809
2024-11-18 00:13:36,006 - INFO - Epoch: 28, VICReg loss: 18.95904
2024-11-18 00:13:57,492 - INFO - Epoch: 29, VICReg loss: 18.93418
2024-11-18 00:14:19,177 - INFO - Epoch: 30, VICReg loss: 18.93471
2024-11-18 00:14:40,884 - INFO - Epoch: 31, VICReg loss: 18.89267
2024-11-18 00:15:02,461 - INFO - Epoch: 32, VICReg loss: 18.89194
2024-11-18 00:15:23,986 - INFO - Epoch: 33, VICReg loss: 18.85565
2024-11-18 00:15:45,625 - INFO - Epoch: 34, VICReg loss: 18.82156
2024-11-18 00:16:07,175 - INFO - Epoch: 35, VICReg loss: 18.81758
2024-11-18 00:16:28,852 - INFO - Epoch: 36, VICReg loss: 18.80298
2024-11-18 00:16:50,090 - INFO - Epoch: 37, VICReg loss: 18.75196
2024-11-18 00:17:11,309 - INFO - Epoch: 38, VICReg loss: 18.78919
2024-11-18 00:17:32,638 - INFO - Epoch: 39, VICReg loss: 18.73755
2024-11-18 00:17:53,850 - INFO - Epoch: 40, VICReg loss: 18.73429
2024-11-18 00:18:15,079 - INFO - Epoch: 41, VICReg loss: 18.70451
2024-11-18 00:18:36,459 - INFO - Epoch: 42, VICReg loss: 18.68133
2024-11-18 00:18:57,727 - INFO - Epoch: 43, VICReg loss: 18.68948
2024-11-18 00:19:19,052 - INFO - Epoch: 44, VICReg loss: 18.65045
2024-11-18 00:19:40,444 - INFO - Epoch: 45, VICReg loss: 18.65782
2024-11-18 00:20:02,235 - INFO - Epoch: 46, VICReg loss: 18.62927
2024-11-18 00:20:23,264 - INFO - Epoch: 47, VICReg loss: 18.61758
2024-11-18 00:20:45,141 - INFO - Epoch: 48, VICReg loss: 18.59870
2024-11-18 00:21:07,101 - INFO - Epoch: 49, VICReg loss: 18.59917
2024-11-18 00:21:28,605 - INFO - Epoch: 50, VICReg loss: 18.57744
2024-11-18 00:21:49,969 - INFO - Epoch: 51, VICReg loss: 18.54904
2024-11-18 00:22:11,953 - INFO - Epoch: 52, VICReg loss: 18.53699
2024-11-18 00:22:34,113 - INFO - Epoch: 53, VICReg loss: 18.51365
2024-11-18 00:22:56,526 - INFO - Epoch: 54, VICReg loss: 18.50203
2024-11-18 00:23:18,483 - INFO - Epoch: 55, VICReg loss: 18.52114
2024-11-18 00:23:40,845 - INFO - Epoch: 56, VICReg loss: 18.50503
2024-11-18 00:24:03,165 - INFO - Epoch: 57, VICReg loss: 18.50780
